,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Itarema,-2.92,-39.92,80.92,77,49,15.28,BR,11/18/20 03:17
1,Kondagaon,19.6,81.67,75.56,64,0,2.57,IN,11/18/20 03:17
2,Darhan,49.49,105.92,27.91,93,71,4.18,MN,11/18/20 03:17
3,Klaksvík,62.23,-6.59,37.4,69,100,14.99,FO,11/18/20 03:17
4,Kavieng,-2.57,150.8,84.04,72,100,1.86,PG,11/18/20 03:17
5,Marzuq,14.4,46.47,57.02,60,4,1.45,YE,11/18/20 03:17
6,Bambous Virieux,-20.34,57.76,72.72,83,75,10.29,MU,11/18/20 03:17
7,Butaritari,3.07,172.79,81.86,73,55,15.08,KI,11/18/20 03:17
8,Vaini,-21.2,-175.2,80.6,78,75,6.93,TO,11/18/20 03:17
9,Iqaluit,63.75,-68.51,30.09,92,90,8.05,CA,11/18/20 03:17
10,Jamestown,42.1,-79.24,30.7,95,90,14.99,US,11/18/20 03:17
11,Negombo,7.21,79.84,77.0,94,40,2.24,LK,11/18/20 03:14
12,Slave Lake,55.28,-114.77,21.2,92,90,6.93,CA,11/18/20 03:17
13,Husavik,66.04,-17.34,26.6,73,90,6.93,IS,11/18/20 03:17
14,Honningsvåg,70.98,25.97,43.83,76,88,29.75,NO,11/18/20 03:17
15,Bluff,-46.6,168.33,57.0,69,62,15.01,NZ,11/18/20 03:17
16,Busselton,-33.65,115.33,75.99,73,1,13.24,AU,11/18/20 03:17
17,Ondangwa,-17.92,15.95,69.8,28,46,4.7,NA,11/18/20 03:17
18,Thompson,55.74,-97.86,1.4,84,20,2.24,CA,11/18/20 03:17
19,Beringovskiy,63.05,179.32,35.83,90,100,13.33,RU,11/18/20 03:17
20,Saint-Philippe,-21.36,55.77,70.7,73,90,12.75,RE,11/18/20 03:17
21,Atuona,-9.8,-139.03,78.75,74,1,14.9,PF,11/18/20 03:17
22,Severo-Kuril'sk,50.68,156.12,29.97,93,91,32.66,RU,11/18/20 03:17
23,Talnakh,69.49,88.4,17.6,92,75,6.71,RU,11/18/20 03:17
24,Harper,4.38,-7.72,77.86,85,64,6.08,LR,11/18/20 03:17
25,Barrow,71.29,-156.79,19.4,85,1,12.75,US,11/18/20 03:17
26,Puerto Ayora,-0.74,-90.35,69.01,91,90,4.0,EC,11/18/20 03:17
27,São João da Barra,-21.64,-41.05,75.07,91,100,8.37,BR,11/18/20 03:17
28,Qaanaaq,77.48,-69.36,22.87,90,100,11.54,GL,11/18/20 03:17
29,Saint Paul Harbor,57.79,-152.41,37.4,37,1,13.87,US,11/18/20 03:17
30,Vinces,-1.55,-79.73,73.47,69,0,13.87,EC,11/18/20 03:17
31,Port Elizabeth,-33.92,25.57,62.6,100,90,10.29,ZA,11/18/20 03:17
32,Kapaa,22.08,-159.32,77.94,78,75,11.41,US,11/18/20 03:17
33,Lebu,-37.62,-73.65,51.39,92,79,7.52,CL,11/18/20 03:17
34,Cabo San Lucas,22.89,-109.91,76.39,73,5,5.88,MX,11/18/20 03:13
35,Vao,-22.67,167.48,73.89,73,28,16.55,NC,11/18/20 03:17
36,Tselinnoye,53.08,85.67,11.8,95,59,6.85,RU,11/18/20 03:17
37,Otjimbingwe,-22.35,16.13,62.29,44,0,1.1,NA,11/18/20 03:17
38,Ushuaia,-54.8,-68.3,46.4,70,40,18.34,AR,11/18/20 03:17
39,Maceió,-9.67,-35.74,75.2,94,20,4.7,BR,11/18/20 03:13
40,Vestmannaeyjar,63.44,-20.27,32.31,91,99,5.95,IS,11/18/20 03:17
41,Hermanus,-34.42,19.23,59.0,96,86,11.63,ZA,11/18/20 03:17
42,Yellowknife,62.46,-114.35,5.0,92,90,6.93,CA,11/18/20 03:15
